"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3118","TC-REGISTR-002: Continue with Google starts OAuth","ui","2026-06-09","passed","2026-06-09","Sign Up","../auth/sign-up.spec.ts","",""
"","5048","Direct access — /event/:testId and /stream/:testId as regular → 404","ui","2026-06-09","passed","2026-06-09","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","19456","annual test price: renewal after ~1 day interval","api","2026-06-09","passed","2026-06-09","Renewal via Stripe Test Clock","../api/subscription-renewal-stripe.spec.ts","",""
"","499","Search via GET /platform/events?search= — admin finds test event; regular does not","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","16675","Security: no Authorization — lists must not include test events","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","4582","TC-HOME-BAN-003: hero renders and advances","ui","2026-06-09","passed","2026-06-09","Home Screen Banners","../ui/home-banners.spec.ts","",""
"","925","create → list → patch → delete (admin)","api","2026-06-09","passed","2026-06-09","Admin — library images CRUD","../api/admin-library-images.spec.ts","",""
"","27834","TC-VOD-003: infinite scroll loads more (or stays when no more pages)","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","23533","monthly price: second paid invoice after clock advance","api","2026-06-09","passed","2026-06-09","Renewal via Stripe Test Clock","../api/subscription-renewal-stripe.spec.ts","",""
"","5644","TC-HOME-BAN-001: event banner CTA routes per auth state","ui","2026-06-09","passed","2026-06-09","Home Screen Banners","../ui/home-banners.spec.ts","",""
"","999","Admin user detail: E2E wallet user has ≤ 1 active subscription","api","2026-06-09","passed","2026-06-09","Subscription duplicates — API invariants","../api/subscription-duplicate-invariants.spec.ts","",""
"","976","GET /events/public/* — admin sees test event in at least one feed (union of buckets)","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","2423","TC-FAQ-002: a collapsed item expands and collapses on click","ui","2026-06-09","passed","2026-06-09","FAQ","../ui/faq.spec.ts","",""
"","221","GET /me without auth → 401","api","2026-06-09","passed","2026-06-09","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","645","POST format-name → non-admin is forbidden","api","2026-06-09","passed","2026-06-09","Admin — AI event-name formatter","../api/admin-event-name-formatter.spec.ts","",""
"","1993","TC-OIA-001: desktop visitor — banner stays hidden","ui","2026-06-09","passed","2026-06-09","Open-in-app modal","../ui/open-in-app.spec.ts","",""
"","5802","TC-EVENT-HL-002: Direct URL → event page → Jump To Highlight → click moment","ui","2026-06-09","passed","2026-06-09","Event Highlights","../ui/event-highlights.spec.ts","",""
"","41450","TC-ACCOUNT-001: update first/last name → success toast","ui","2026-06-09","passed","2026-06-09","User Account","../ui/account.spec.ts","",""
"","1965","TC-LEGAL-001: Terms of Use page opens with content","ui","2026-06-09","passed","2026-06-09","Legalese","../ui/legalese.spec.ts","",""
"","22450","TC-ACCOUNT-003: forgot password from account page","ui","2026-06-09","passed","2026-06-09","User Account","../ui/account.spec.ts","",""
"","213","GET /global-search?q= — results must not include the test event","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","21354","TC-PLAYER-003: Play/Pause — controls toggle correctly","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
"","2673","TC-EVENT-HL-003: Highlight filter/search within event (if UI exposes it)","ui","2026-06-09","passed","2026-06-09","Event Highlights","../ui/event-highlights.spec.ts","",""
"","12758","TC-AUTH-003: forgot password sends reset and shows inbox confirmation","ui","2026-06-09","passed","2026-06-09","Sign In","../auth/sign-in.spec.ts","",""
"","4227","TC-OIA-002: mobile visitor — banner shows; Continue dismisses + cooldown","ui","2026-06-09","passed","2026-06-09","Open-in-app modal","../ui/open-in-app.spec.ts","",""
"","1961","TC-LEGAL-002: Privacy Policy section reachable via hash","ui","2026-06-09","passed","2026-06-09","Legalese","../ui/legalese.spec.ts","",""
"","655","GET /platform/events/:id — admin 200 for test event; regular 404; regular 200 for prod","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","27110","TC-VOD-007: sort By sport","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","20688","TC-PLAYER-002: VOD Playback — progress bar + seek works","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
"","45013","Pagination — test event id never appears in any regular page","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3647","TC-CONTACT-002: submit with observation → ""Message sent""","ui","2026-06-09","passed","2026-06-09","Contact Support","../ui/contact.spec.ts","",""
"","6476","TC-AUTH-002: invalid credentials show toast and stay on login","ui","2026-06-09","passed","2026-06-09","Sign In","../auth/sign-in.spec.ts","",""
"","3662","TC-REGISTR-003: Continue with Apple starts OAuth","ui","2026-06-09","passed","2026-06-09","Sign Up","../auth/sign-up.spec.ts","",""
"","403","non-admin and unauthenticated are blocked","api","2026-06-09","passed","2026-06-09","Admin — library images CRUD","../api/admin-library-images.spec.ts","",""
"","2299","TC-SCHEDULE-001: /schedule loads with Schedule nav marked current","ui","2026-06-09","passed","2026-06-09","Search & navigation redesign","../ui/search.spec.ts","",""
"","99","TC-ACCOUNT-002: change password → success toast","ui","2026-06-09","skipped","2026-06-09","User Account","../ui/account.spec.ts","",""
"","958","GET /events/public/* — regular user never sees test event in any feed","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","5859","TC-HOME-002: open a sport page from the home sports section","ui","2026-06-09","skipped","2026-06-09","Home screen","../ui/home.spec.ts","",""
"","2336","TC-HOME-001: all home screen sections","ui","2026-06-09","passed","2026-06-09","Home screen","../ui/home.spec.ts","",""
"","27182","TC-VOD-002: selecting a sport facet filters the list live","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","20203","TC-PLAYER-007: Stream Load Error — non-existent eventId shows 404 page","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
"","214","REGULAR_TOKEN: at most one active subscription row","api","2026-06-09","passed","2026-06-09","Subscription duplicates — API invariants","../api/subscription-duplicate-invariants.spec.ts","",""
"","2844","TC-HOME-003: navigate to Event Video Player from event card","ui","2026-06-09","passed","2026-06-09","Home screen","../ui/home.spec.ts","",""
"","17471","GET /platform/events — regular user list excludes all test events","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","201","POST format-name → unauthenticated 401","api","2026-06-09","passed","2026-06-09","Admin — AI event-name formatter","../api/admin-event-name-formatter.spec.ts","",""
"","7675","TC-AUTH-004: logout clears token and leaves guest header","ui","2026-06-09","passed","2026-06-09","Sign In","../auth/sign-in.spec.ts","",""
"","22729","TC-ACCOUNT-004: timezone change persists and saves successfully","ui","2026-06-09","passed","2026-06-09","User Account","../ui/account.spec.ts","",""
"","278","GET /platform/events — admin sees test events in the list","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3217","TC-CONTACT-001: submit a request → ""Message sent""","ui","2026-06-09","passed","2026-06-09","Contact Support","../ui/contact.spec.ts","",""
"","239","POST /search — anonymous response must not include test events","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","4220","TC-SEARCH-002: typing a query reveals Clear, clearing empties the box","ui","2026-06-09","passed","2026-06-09","Search & navigation redesign","../ui/search.spec.ts","",""
"","2835","TC-SEARCH-003: removed /search-v2 route returns 404","ui","2026-06-09","passed","2026-06-09","Search & navigation redesign","../ui/search.spec.ts","",""
"","1949","TC-FAQ-001: /faq loads, first item open by default","ui","2026-06-09","passed","2026-06-09","FAQ","../ui/faq.spec.ts","",""
"","6438","TC-AUTH-001: successful login lands on home","ui","2026-06-09","passed","2026-06-09","Sign In","../auth/sign-in.spec.ts","",""
"","2618","TC-HOME-004: navigate to VOD from ""See More"" on Home","ui","2026-06-09","passed","2026-06-09","Home screen","../ui/home.spec.ts","",""
"","610","E2E_USER_EMAIL (wallet): at most one active after /login","api","2026-06-09","passed","2026-06-09","Subscription duplicates — API invariants","../api/subscription-duplicate-invariants.spec.ts","",""
"","422","GET /platform/events/:id/stream — admin 200 + JSON body; regular 404 for test event","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","2749","POST format-name → { formattedName, originalName } (admin)","api","2026-06-09","passed","2026-06-09","Admin — AI event-name formatter","../api/admin-event-name-formatter.spec.ts","",""
"","20216","TC-PLAYER-001: Live Event Playback — LIVE badge + no-rewind indicator","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
